identifier,product_description,brand,name,rd_unit_count,rd_size_value,rd_size_uom
30580,Fabri-Kal 3.25oz Plastic Portion Cups #PC325-RD (125CT) - 20/CS,Fabri-Kal,Plastic Portion Cups #PC325-RD (3.25 oz),125,1,each
420724,Lagunitas IPA 24/12oz,Lagunitas,IPA,24,12,oz
55230,Poly King Bib Lobster Adult 500CT 4/CS,Poly KIng,Bib Lobster Adult,500,1,each
761474,Rerobox Heavy Duty Black Plastic Bowl 40 oz RO-40 (120 CT),Rerobox,Heavy Duty Black Plastic Bowl (40 oz),120,1,each
43322,Soft Touch 3PLY White Dinner Napkin Code ST-377,Soft Touch,3PLY White Dinner Napkin Code ST-377,1,1,each
30579,Fabri-Kal 2oz Portion Cup #PC200 (250CT) - 10/CS,,,,,
30544,Fabri-Kal Clear Deli Container 16oz #PK16SC (500CT),,,,,
55625,"BagCraft Papercon 12""x12"" White Grease Resistant Sandwich Wrap #EW1212 (1000CT) - 5/CS",,,,,
55624,"BagCraft 14""x14"" Grease Resistant White Paper Sandwich Wrap Liner (4-1000CT) - 4/CS",,,,,
55623,"BagCraft Grease Resistant Sandwich Wrap 15""x16"" (1000CT) - 4/CS",,,,,
59659,"Sunset Bakery Pan Liners 16""x24"" (1000CT)",,,,,
30602,Fabri-Kal 1.5oz Clear Portion Cups #PC150S (2500CT),,,,,
60515,"Tongs 12"" Hinged",,,,,
60415,Can Opener Swing Away 1EA,,,,,
82956,Biogest Enzyme Drain Cleaner 1GAL 4/CS,,,,,
30578,Fabri-Kal 1oz Plastic Portion Cup #PC100-RD (250CT) - 10/CS,,,,,
30601,Fabri-Kal 1oz Squat Portion Cups #PC100S (250CT) - 10/CS,,,,,
30600,Fabrikal Plastic Dome Lid Dlkc16/24 (1000 CT),,,,,
61210,Cambro Lexan Half (1/2) Pan 6 inch Deep Clear Plastic,,,,,
61213,Cambro Lexan Third (1/3) Pan 6 inch Deep Clear Plastic,,,,,
56996,Qualite Natural Finish Fry Pan 10 inch 1025RD,,,,,
56990,Qualite Teflon Coated Fry Pan 10 inch SEW1025RD,,,,,
840445,Amana #Rcs10ts 1000watt Micro S/S Touch Med Vol - Microwave Amana Rcs10ts Touch Stainless Steel Medium Volume 1000watt,,,,,
55536,"Market Wax 10x10.75"" Deli Paper - 12/CS (500 CT) Code MW10",,,,,
55538,"ArtisanWax Interfolded Dry Wax Deli Paper, Heavy Weight (500CT) - 12/CS",,,,,
55539,"Bagcraft Paper Poly Clear 10""x10.75"" - 10/CS (1000 CT)",,,,,
55141,Libbey Double Rocks Glasses 12oz (36 CT),,,,,
58369,Fabri-Kal 12oz Plastic Deli Container #PK12SC (500CT),,,,,
41230,Old Country Large Hot Dogs Buns (12CT),,,,,
30594,Fabri-Kal Clear Plastic Flat Lids X-Slot #LKC16/24 (1000 CT),,,,,
420051,Sapporo Bottle 20.3 oz. 12 CT,,,,,
56716,International Paper 12oz Hot Paper Cup White #SMR-12 (600CT),,,,,
43227,Soga Firm Tofu - 12/CS,,,,,
60845,Cambro Square Clear Container 12 Quart,,,,,
55537,"Market Wax Interfolded Dry Wax Paper 12x10.75"" MW12 (500 CT) - 12/CS",,,,,
55610,"Bagcraft Menu Tissue 12x12"" 1000CT - 10/CS",,,,,
55622,"BagCraft Grease Resistant Sandwich Wrap Yellow 12""x12"" (1000CT) - 5/CS",,,,,
440526,Dr Pepper Diet 12pk - 2/CS,,,,,
32758,Dart-Clear Plastic Cups-12oz-TP12-20/CS,,,,,
50019,Dart J Cup Form Cup 12J16 1000 PCS 12oz,,,,,
60895,"Strainer Double Mesh 14""",,,,,
55542,BagCraft Premium Silicone Parchment Pan Liner Heavy Duty (1000CT),,,,,
761509,Bowl Clr 16z (200 CT),,,,,
761374,Sol Pak Clear Container With Lid 16oz 1 Compartment (252 CT),,,,,
56286,Dart-16oz Clear Plastic Cups-TP16D,,,,,
42936,Libbey 3716 16z Embassy Royal Ice-Tea - Embassy Royale Iced Tea (36 CT),,,,,
56798,International SMR-16 Carte Blanc RD Paper Hot White Paper Cup 16oz 600CT,,,,,
44650,Pulmuone Soga All Natural Tofu Firm 18oz - 12/CS,,,,,
55609,Paper Roll 18in,,,,,
41146,Melody 90140 Paper Napkins 18/180pk,,,,,
43209,Pulmuone Soga Tofu Soft 18oz 12/CS,,,,,
51900,Libbey #3796 Fluted Champagne 6 Oz 1dz - Embassy Royale Tall Flute Â Â Â Â (12 CT),,,,,
50399,Soft Touch 1/4-Fold Lunch Napkin #ST-151 (6000CT),,,,,
440801,Coca Cola 2 Liter 4-Pack,,,,,
440802,Diet Coke 2 Liter 4-Pack,,,,,
440803,Sprite 2 Liter 4-Pack,,,,,
440126,Minute Maid lemonade,,,,,
420092,Shock Top Belgian White 2/12 pack (12 ounce) bottles Belgian Wheat Ale,,,,,
440185,Vitamin Water Variety Pack 20oz (12CT),,,,,
56441,International Paper 20oz SoHo-Design Hot Paper Cup #SMR-20 (500CT),,,,,
56451,International Paper Hot White Paper Cup 20oz #SMR-20-WH (500CT),,,,,
32675,Solo - wax paper portion cups,,,,,
480361,Teleras Fresh bread rolls 22z 6pk,,,,,
30591,Fabri-Kal 24oz Clear Plastic Drink Cups #KC24 (600CT),,,,,
420725,Trumer PILS 12oz (24CT),,,,,
761518,Rerobox Heavy Duty Black Plastic Bowl with Clear Lid 25 oz RO-25(125 CT),,,,,
43321,Soft Touch ST-200 1/4 Fold Cocktail Napkins 2 ply 10x 9.5” 12PK/250 EA,,,,,
761554,Foil To Go Container 3 Compartment 250 CT,,,,,
50102,"Register Roll 1300sp 3""x165' - 3/CS (10 CT)",,,,,
50089,"NCCO Register Roll 2-Ply #2300SP 3""x100' - (30CT)",,,,,
30577,Fabri-Kal .75oz Clear Plastic Portion Cups #PC075 (250CT) - 10/CS,,,,,
761568,Dart - 075pc - clear portion containers,,,,,
3290006,"Sabert 6.5 "" x 9"" Oval Pulp Bowl",,,,,
