identifier,product_description,brand,name,rd_unit_count,rd_size_value,rd_size_uom
30580,Fabri-Kal 3.25oz Plastic Portion Cups #PC325-RD (125CT) - 20/CS,Fabri-Kal,Plastic Portion Cups #PC325-RD (3.25 oz),125,1,each
420724,Lagunitas IPA 24/12oz,Lagunitas,IPA,24,12,oz
55230,Poly King Bib Lobster Adult 500CT 4/CS,Poly KIng,Bib Lobster Adult,500,1,each
761474,Rerobox Heavy Duty Black Plastic Bowl 40 oz RO-40 (120 CT),Rerobox,Heavy Duty Black Plastic Bowl (40 oz),120,1,each
43322,Soft Touch 3PLY White Dinner Napkin Code ST-377,Soft Touch,3PLY White Dinner Napkin Code ST-377,1,1,each
30579,Fabri-Kal 2oz Portion Cup #PC200 (250CT) - 10/CS,Fabri,Fabri-Kal 2oz Portion Cup #PC200  - ,250,1,each
30544,Fabri-Kal Clear Deli Container 16oz #PK16SC (500CT),Fabri,Fabri-Kal Clear Deli Container  #PK16SC (16oz),500,1,each
55625,"BagCraft Papercon 12""x12"" White Grease Resistant Sandwich Wrap #EW1212 (1000CT) - 5/CS",BagCraft,"BagCraft Papercon 12""x12"" White Grease Resistant Sandwich Wrap #EW1212  - ",1000,1,each
55624,"BagCraft 14""x14"" Grease Resistant White Paper Sandwich Wrap Liner (4-1000CT) - 4/CS",BagCraft,"BagCraft 14""x14"" Grease Resistant White Paper Sandwich Wrap Liner  - ",4-1000,1,each
55623,"BagCraft Grease Resistant Sandwich Wrap 15""x16"" (1000CT) - 4/CS",BagCraft,"BagCraft Grease Resistant Sandwich Wrap 15""x16""  - ",1000,1,each
59659,"Sunset Bakery Pan Liners 16""x24"" (1000CT)",Sunset,"Sunset Bakery Pan Liners 16""x24"" ",1000,1,each
30602,Fabri-Kal 1.5oz Clear Portion Cups #PC150S (2500CT),Fabri,Fabri-Kal  Clear Portion Cups #PC150S (1.5oz),2500,1,each
60515,"Tongs 12"" Hinged",Tongs,"Tongs 12"" Hinged",1,1,each
60415,Can Opener Swing Away 1EA,Can,Can Opener Swing Away 1EA,1,1,each
82956,Biogest Enzyme Drain Cleaner 1GAL 4/CS,Biogest,Biogest Enzyme Drain Cleaner 1GAL ,1,1,each
30578,Fabri-Kal 1oz Plastic Portion Cup #PC100-RD (250CT) - 10/CS,Fabri,Fabri-Kal 1oz Plastic Portion Cup #PC100-RD  - ,250,1,each
30601,Fabri-Kal 1oz Squat Portion Cups #PC100S (250CT) - 10/CS,Fabri,Fabri-Kal 1oz Squat Portion Cups #PC100S  - ,250,1,each
30600,Fabrikal Plastic Dome Lid Dlkc16/24 (1000 CT),Fabrikal,Fabrikal Plastic Dome Lid Dlkc16/24 ,1000 ,1,each
61210,Cambro Lexan Half (1/2) Pan 6 inch Deep Clear Plastic,Cambro,Cambro Lexan Half (1/2) Pan 6 inch Deep Clear Plastic,1,1,each
61213,Cambro Lexan Third (1/3) Pan 6 inch Deep Clear Plastic,Cambro,Cambro Lexan Third (1/3) Pan 6 inch Deep Clear Plastic,1,1,each
56996,Qualite Natural Finish Fry Pan 10 inch 1025RD,Qualite,Qualite Natural Finish Fry Pan 10 inch 1025RD,1,1,each
56990,Qualite Teflon Coated Fry Pan 10 inch SEW1025RD,Qualite,Qualite Teflon Coated Fry Pan 10 inch SEW1025RD,1,1,each
840445,Amana #Rcs10ts 1000watt Micro S/S Touch Med Vol - Microwave Amana Rcs10ts Touch Stainless Steel Medium Volume 1000watt,Amana,Amana #Rcs10ts 1000watt Micro S/S Touch Med Vol Microwave Amana Rcs10ts Touch Stainless Steel Medium Volume 1000watt,1,1,each
55536,"Market Wax 10x10.75"" Deli Paper - 12/CS (500 CT) Code MW10",Market,"Market Wax 10x10.75"" Deli Paper -   Code MW10",500 ,1,each
55538,"ArtisanWax Interfolded Dry Wax Deli Paper, Heavy Weight (500CT) - 12/CS",ArtisanWax,"ArtisanWax Interfolded Dry Wax Deli Paper, Heavy Weight  - ",500,1,each
55539,"Bagcraft Paper Poly Clear 10""x10.75"" - 10/CS (1000 CT)",Bagcraft,"Bagcraft Paper Poly Clear 10""x10.75"" -  ",1000 ,1,each
55141,Libbey Double Rocks Glasses 12oz (36 CT),Libbey,Libbey Double Rocks Glasses  (12oz),36 ,1,each
58369,Fabri-Kal 12oz Plastic Deli Container #PK12SC (500CT),Fabri,Fabri-Kal  Plastic Deli Container #PK12SC (12oz),500,1,each
41230,Old Country Large Hot Dogs Buns (12CT),Old,Old Country Large Hot Dogs Buns ,12,1,each
30594,Fabri-Kal Clear Plastic Flat Lids X-Slot #LKC16/24 (1000 CT),Fabri,Fabri-Kal Clear Plastic Flat Lids X-Slot #LKC16/24 ,1000 ,1,each
420051,Sapporo Bottle 20.3 oz. 12 CT,Sapporo,Sapporo Bottle 20.3 oz. 12 CT,1,1,each
56716,International Paper 12oz Hot Paper Cup White #SMR-12 (600CT),International,International Paper  Hot Paper Cup White #SMR-12 (12oz),600,1,each
43227,Soga Firm Tofu - 12/CS,Soga,Soga Firm Tofu ,1,1,each
60845,Cambro Square Clear Container 12 Quart,Cambro,Cambro Square Clear Container 12 Quart,1,1,each
55537,"Market Wax Interfolded Dry Wax Paper 12x10.75"" MW12 (500 CT) - 12/CS",Market,"Market Wax Interfolded Dry Wax Paper 12x10.75"" MW12  - ",500 ,1,each
55610,"Bagcraft Menu Tissue 12x12"" 1000CT - 10/CS",Bagcraft,"Bagcraft Menu Tissue 12x12"" 1000CT ",1,1,each
55622,"BagCraft Grease Resistant Sandwich Wrap Yellow 12""x12"" (1000CT) - 5/CS",BagCraft,"BagCraft Grease Resistant Sandwich Wrap Yellow 12""x12""  - ",1000,1,each
440526,Dr Pepper Diet 12pk - 2/CS,Dr,Dr Pepper Diet 12pk ,1,1,each
32758,Dart-Clear Plastic Cups-12oz-TP12-20/CS,Dart,Dart-Clear Plastic Cups-12oz-TP12-,1,1,each
